icon
game-icon--baccarat.png :  Baccarat
game-icon--bingo.png :  Bingo
game-icon--blackjack.png :  Blackjack
game-icon--craps.png :  Craps
game-icon--keno.png :  Keno
game-icon--live_games.png :  Live_Games
game-icon--lotteries.png :  Lotteries
game-icon--roulette.png :  Roulette
game-icon--roulette_0.png :  Roulette_0
game-icon--scratch_cards.png :  Scratch_Cards
game-icon--slots.png :  Slots
game-icon--slots_0.png :  Slots_0
game-icon--video_poker.png :  Video_Poker
